TEMA,SUBTEMA,NUM_PERG,PERGUNTA,NOME_ARQUIVO_JS,CODIGO,LINK,TAG_GITHUB,END_TRANSFORMACOES,DESCRICAO,FREQ_DATA,TP_GRAFICO,TITULO
Trabalho e Emprego,Rendimento,,Qual o rendimento médio mensal de todas as pessoas de 14 anos ou mais de idade em Salvador?,rendimento_total.csv,,"https://apisidra.ibge.gov.br/values/t/6472/n6/2927408/v/5929,5933,9132,9133,9136,9137,9138,9141,9142,9143,9146,9147,9148,9151/p/all?formato=json",(re)Conhecendo Salvador,,,trimestral,padrão,Rendimento médio total
Trabalho e Emprego,Rendimento,,Qual o rendimento médio mensal de pessoas de 14 anos ou mais de idade organizado por raça/cor em Salvador?,rendimento_raçacor.csv,,"https://apisidra.ibge.gov.br/values/t/6405/n6/2927408/v/5932,5933,5934,5935/p/all/c86/allxt?formato=json",(re)Conhecendo Salvador,,,trimestral,padrão,Rendimento por raça/cor
Trabalho e Emprego,Rendimento,,Qual o rendimento médio mensal de pessoas de 14 anos ou mais de idade organizado por sexo biológico em Salvador?,rendimento_sexo.csv,,"https://apisidra.ibge.gov.br/values/t/5436/n6/2927408/v/5932,5933,5934,5935/p/all/c2/allxt?formato=json",(re)Conhecendo Salvador,,,trimestral,padrão,Rendimento por sexo biológico
